Test data for NRIC,Test data for account number,Test data for credit card
S4749511C,P-123456,"VISA,4190313300743035"
S4133199B,P-123457,"VISA,4556216880494549"
S3329831E,P-123458,"VISA,4119115755559024"
S3415500C,P-123459,"VISA,4311519161554758"
S4612217H,P-123451,"VISA,4367676887194492"
S5400056A,P-123452,"VISA,4190315121687564"
S3562759F,P-123453,"VISA,4284249475630382"
,P-123454,"VISA,4119111118627202"
 ,,"VISA,4556221536532932"
,,"VISA,4628454409677666"
,,"VISA,4311516762311422"
,,"VISA,4216106157009967"
,,"VISA,4722087885765137"
,,"VISA,4722089380868309"
,,"VISA,4119113405399834"
,,"VISA,4575168591517562"
, ,"VISA,4575168191743667"
,,"VISA,4722037561144255"
,,"VISA,4216109566429644"
,,"VISA,4284242605951661"
,,"VISA,4628943871706805"
,,"VISA,4628943459125055"
,,"VISA,4628944688681108"
,,"VISA,4628941047942056"
,,"VISA,4628946893032654"
,,"VISA,4628945800869166"
,,"VISA,4628946801506658"
,,"VISA,4628945600948491"
,,"VISA,4628944188896008"
,,"VISA,4628948298248588"
,,"VISA,4628946545346858"
,,"VISA,4628944929781055"
,,"VISA,4628948317082174"
,,"VISA,4628945139097018"
,,"VISA,4628942577235309"
,,"VISA,4628942648237466"
,,"VISA,4628944500184398"
,,"VISA,4628947176873624"
,,"VISA,4628945338178817"
,,"VISA,4628942440962345"
,,"VISA,4628949426390052"
,,"VISA,4628942687818655"
,,"VISA,4628944318903054"
,,"VISA,4628949422952947"
,,"VISA,4628944797692772"
,,"VISA,4628947957792209"
,,"VISA,4628946175455086"
,,"VISA,4628947023459320"
,,"VISA,4628945875176729"
,,"VISA,4628941888036661"
,,"VISA,4628948607953779"
,,"VISA,4628948482748880"
,,"VISA,4628947800207397"
,,"VISA,4628942017566776"
,,"VISA,4628946854613377"
,,"VISA,4628947885433835"
,,"VISA,4628944426408103"
,,"VISA,4628946378081937"
,,"VISA,4628944322685929"
,,"VISA,4628944084729667"
